outcome,model,condition,primary_OR,primary_ci,primary_p,primary_holm,lenient_OR,lenient_ci,lenient_p,lenient_holm,distinct_OR,distinct_ci,distinct_p,distinct_holm,literal_OR,literal_ci,literal_p,literal_holm,mismatch_not_found_OR,mismatch_not_found_ci,mismatch_not_found_p,mismatch_not_found_holm,template_B_OR,template_B_ci,template_B_p,template_B_holm,templates_pooled_OR,templates_pooled_ci,templates_pooled_p,templates_pooled_holm,generations_pooled_OR,generations_pooled_ci,generations_pooled_p,generations_pooled_holm,tasks_pooled_OR,tasks_pooled_ci,tasks_pooled_p,tasks_pooled_holm,appellate_OR,appellate_ci,appellate_p,appellate_holm,grounded_OR,grounded_ci,grounded_p,grounded_holm
citation,qwen30b,quota,0.532,0.396-0.714,3e-05,0.0002,0.532,0.396-0.714,3e-05,0.0002,0.531,0.39-0.723,6e-05,0.0004,0.532,0.396-0.714,3e-05,0.0002,0.617,0.456-0.836,0.00186,0.0093,0.812,0.555-1.189,0.28436,0.8531,0.671,0.515-0.873,0.00302,0.0121,,,,,0.851,0.672-1.078,0.18054,0.7222,1.103,0.801-1.519,0.54908,1.0,,,,
citation,qwen30b,temporal,0.427,0.263-0.693,0.00058,0.0029,0.427,0.263-0.693,0.00058,0.0023,0.437,0.274-0.695,0.00047,0.0024,0.427,0.263-0.693,0.00058,0.0029,0.42,0.263-0.672,0.00029,0.0017,0.276,0.173-0.438,0.0,0.0,0.333,0.23-0.483,0.0,0.0,,,,,0.624,0.444-0.876,0.00649,0.0389,0.753,0.466-1.217,0.24732,1.0,,,,
citation,qwen30b,stakes,0.626,0.423-0.928,0.01965,0.059,0.626,0.423-0.928,0.01965,0.059,0.632,0.431-0.928,0.01911,0.0573,0.626,0.423-0.928,0.01965,0.059,0.761,0.545-1.063,0.10951,0.3285,1.29,0.853-1.949,0.22729,0.9092,0.902,0.675-1.206,0.48782,1.0,,,,,1.072,0.825-1.393,0.60249,0.6025,1.458,1.052-2.02,0.02343,0.1874,,,,
citation,qwen30b,combo,0.288,0.173-0.481,0.0,0.0,0.288,0.173-0.481,0.0,0.0,0.289,0.183-0.457,0.0,0.0,0.288,0.173-0.481,0.0,0.0,0.306,0.191-0.49,0.0,0.0,0.313,0.207-0.471,0.0,0.0,0.307,0.216-0.435,0.0,0.0,0.354,0.247-0.507,0.0,0.0,0.498,0.35-0.709,0.00011,0.0008,0.686,0.429-1.097,0.11547,0.8083,100.892,16.841-604.427,0.0,0.0
citation,mistralsmall,quota,1.356,0.895-2.054,0.15019,0.6008,1.356,0.895-2.054,0.15019,0.6008,1.345,0.887-2.04,0.16279,0.6512,1.356,0.895-2.054,0.15019,0.4506,1.121,0.741-1.695,0.58857,0.5886,1.277,0.916-1.779,0.14931,0.4479,1.297,0.998-1.685,0.05219,0.261,,,,,1.215,0.968-1.525,0.09315,0.5589,1.16,0.874-1.538,0.30346,1.0,,,,
citation,mistralsmall,temporal,0.622,0.42-0.922,0.01816,0.1271,0.622,0.42-0.922,0.01816,0.1453,0.615,0.413-0.914,0.01626,0.1138,0.622,0.42-0.922,0.01816,0.1271,0.546,0.377-0.79,0.00134,0.0107,0.996,0.615-1.613,0.9869,0.9869,0.769,0.555-1.066,0.11492,0.3448,,,,,0.94,0.722-1.223,0.64397,0.644,1.191,0.854-1.659,0.30263,1.0,,,,
citation,mistralsmall,stakes,1.327,0.741-2.379,0.34137,0.3414,1.327,0.741-2.379,0.34137,1.0,1.336,0.743-2.402,0.33238,0.3324,1.327,0.741-2.379,0.34137,0.6827,1.196,0.76-1.883,0.43832,0.8766,1.008,0.733-1.387,0.9612,1.0,1.157,0.872-1.535,0.31204,0.6241,,,,,1.073,0.823-1.399,0.60412,1.0,0.987,0.73-1.333,0.93123,0.9312,,,,
citation,mistralsmall,combo,0.683,0.449-1.04,0.0754,0.377,0.683,0.449-1.04,0.0754,0.4524,0.685,0.448-1.046,0.07959,0.3979,0.683,0.449-1.04,0.0754,0.377,0.659,0.437-0.995,0.04722,0.2361,0.705,0.438-1.133,0.14874,0.595,0.706,0.488-1.022,0.06524,0.261,0.59,0.456-0.763,6e-05,0.0005,0.911,0.696-1.193,0.49789,1.0,1.084,0.765-1.537,0.64843,1.0,8.342,4.376-15.904,0.0,0.0
citation,deepseek,quota,0.583,0.29-1.17,0.12893,0.7736,0.583,0.29-1.17,0.12893,0.7736,0.579,0.288-1.162,0.12421,0.7453,0.583,0.29-1.17,0.12893,0.7736,0.763,0.416-1.402,0.38372,1.0,0.888,0.341-2.313,0.80852,1.0,0.691,0.413-1.158,0.16076,0.643,,,,,0.72,0.468-1.107,0.13462,0.6731,0.779,0.459-1.32,0.35307,1.0,,,,
citation,deepseek,temporal,0.543,0.212-1.391,0.20328,1.0,0.543,0.212-1.391,0.20328,1.0,0.548,0.213-1.414,0.21384,1.0,0.543,0.212-1.391,0.20328,1.0,0.544,0.259-1.143,0.10809,0.6485,0.451,0.16-1.275,0.1334,0.5336,0.501,0.235-1.068,0.07361,0.4417,,,,,0.647,0.406-1.031,0.06694,0.4016,0.69,0.405-1.175,0.17174,1.0,,,,
